no,manufacturer,model,lead,labelMain,labelNum,labelSub1,labelSub2,labelCapacity,description,price,salePrice,commission,spec1,spec2,spec3,spec4,spec5,spec6,spec7,spec8,note1,note2,note3,note4,note5,note6,note7,note8,end
1,三菱,SRT-N184D,給湯専用1~2人向けエコキュート 180L,給湯専用,1~2人向け,-,-,180L,,770000,158000,120000,○,-,-,-,-,○,-,-,蛇口,,,,,高圧力,,,
2,コロナ,CHP-37NY4,給湯専用高圧1~3人向けエコキュート 370L,給湯専用,1~3人向け,-,-,370L,,777000,210000,120000,○,-,-,-,-,○,-,-,蛇口,,,,,高圧力,,,
3,コロナ,CHP-46NY4,給湯専用高圧4人向け以上エコキュート 460L,給湯専用,4人以上向け,-,-,460L,,877000,298000,120000,○,-,-,-,-,○,-,-,蛇口,,,,,高圧力,,,
4,三菱,SRT-N466,給湯専用4人向け以上エコキュート 460L,給湯専用,4人以上向け,-,-,460L,,1057000,308000,120000,○,-,-,-,-,○,-,-,蛇口,,,,,高圧力 220kPa,,,
5,パナソニック,HE-NS37KQS,フルオート1~3人向けエコキュート 370L,ベーシック,1~3人向け,○,-,370L,,0,248000,120000,◎,◎,◎,◎,◎,◎,-,-,ボタンで湯はり 自動でストップ,自動,あり,あり,あり,高圧力 170kPa,,,
6,三菱,SRT-W376,フルオート高圧1~3人向けエコキュート 370L,ベーシック,1~3人向け,○,-,370L,,1130000,328000,120000,◎,◎,◎,◎,◎,◎,-,-,ボタンで湯はり 自動でストップ,自動,自動,あり,あり,高圧力 180kPa,,,
7,パナソニック,HE-NS46KQS,フルオート4人以上向けエコキュート 460L,ベーシック,4人以上向け,○,-,460L,,0,298000,120000,◎,◎,◎,◎,◎,◎,-,-,ボタンで湯はり 自動でストップ,自動,あり,あり,あり,高圧力 170kPa,,,
8,三菱,SRT-W466,フルオート高圧4人以上向けエコキュート 460L,ベーシック,4人以上向け,○,-,460L,,1230000,328000,120000,◎,◎,◎,◎,◎,◎,-,-,ボタンで湯はり 自動でストップ,自動,自動,あり,あり,高圧力 180kPa,,,
9,コロナ,CHP-E37AY4,高圧力パワフルフルオート1~3人向け以上エコキュート 370L,パワフル,1~3人向け,○,○,370L,,1005000,278000,120000,◎,◎,◎,◎,◎,◎,◎,◎,ボタンで湯はり 自動でストップ,自動,自動,あり,あり,高圧パワフル 290kPa,あり,汚れんコート,
10,三菱,SRT-S376A,フルオート高圧1～3人以上向けエコキュート 370L,パワフル,1~3人向け,○,○,370L,,1170000,308000,120000,◎,◎,◎,◎,◎,◎,◎,◎,ボタンで湯はり 自動でストップ,自動,自動,あり,あり,高圧力 180kPa,あり,深紫外線 キラリユキープ,
11,コロナ,CHP-E46AY4,高圧力パワフルフルオート4人向け以上エコキュート 460L,パワフル,4人以上向け,○,○,460L,,1094000,338000,120000,◎,◎,◎,◎,◎,◎,◎,◎,ボタンで湯はり 自動でストップ,自動,自動,あり,あり,高圧パワフル 290kPa,あり,汚れんコート,
12,三菱,SRT-S466A,ハイパワーフルオート4人以上向けエコキュート 460L,パワフル,4人以上向け,○,○,460L,,1280000,348000,120000,◎,◎,◎,◎,◎,◎,◎,◎,ボタンで湯はり 自動でストップ,自動,自動,あり,あり,高圧力 180kPa,あり,深紫外線 キラリユキープ,